Country,"Government revenue as % of GDP
2015–2023 (R)",Over All Expenditure_GDP,Health Expenditure_GDP,Education Expenditure_GDP,social protection expenditure_GDP,Health_budget,education_budget,social protection_budget,ODA inflow,ODA inflow_GNI,ODA outflow,Ouflow as a % of donor GNI,GDP per Capita
Morocco,26.9,18.7,2.2,5.8,2.0,7.2,23.9,10.6,1507.0,1.1,,,3771.4462890625
Mozambique,25.2,16.7,2.6,7.0,1.9,8.2,18.8,11.5,2624.0,15.1,,,623.0
Myanmar,14.3,,1.1,2.1,0.0,4.4,9.8,,1079.0,1.6,,,1233.19666209269
Namibia,31.3,21.8,4.5,9.0,2.8,11.2,25.0,12.9,332.0,2.7,,,4168.0
Nauru,138.8,,11.3,6.2,,9.1,9.6,,37.0,14.1,,,12982.7612060515
Nepal,19.9,6.6,1.8,3.6,1.6,6.5,12.8,24.1,1264.0,2.9,,,1377.62603571292
Netherlands(Kingdomofthe),26.7,25.3,7.9,5.1,,16.9,11.0,0.0,,,6450.0,,64572.0059558854
NewZealand,,21.1,7.7,5.5,,18.6,13.1,0.0,,,515.0,,48280.8114166238
Nicaragua,21.5,12.2,6.1,4.1,,20.1,22.7,0.0,1168.0,7.8,,,2612.87066241288
Niger,,17.3,2.1,4.1,0.4,8.7,12.8,2.4,2107.0,14.5,,,642.937917863471
Nigeria,,,0.5,,,4.1,,,4545.0,1.0,,,1596.63696129001
Niue,,,,,,,,,,,,,19464.0
NorthMacedonia,19.0,16.8,4.6,,1.8,13.0,,10.5,234.0,1.7,,,8624.29360948531
Norway,56.3,21.9,7.0,4.0,,17.8,10.1,0.0,,,5161.0,,87925.0944188399
Oman,,22.1,3.8,4.2,,10.5,14.1,0.0,,,,,21549.8368728192
Pakistan,,10.2,0.8,1.7,0.4,4.6,7.8,4.0,1872.0,0.5,,,1365.27743222493
Palau,24.0,38.3,7.4,,,11.1,,0.0,60.0,22.7,,,15899.4224911152
Panama,11.2,12.8,5.4,3.9,0.8,21.7,11.9,6.5,146.0,0.2,,,18686.4050961265
PapuaNewGuinea,15.3,,1.2,1.9,0.0,5.3,9.2,,682.0,2.2,,,2957.68262498549
